,[68] - VALLE DE ZONGO - BOTIJILACA,[31] - ANGOSTURA,[73] - VALLE DE ZONGO - HARCA,[34] - KANATA,[76] - CHOJLLA,[77] - YANACACHI,[30] - MIGUILLA,[119] - PUNUTUMA,[32] - CHOQUETANGA,[66] - SISTEMA ZONGO,[26] - SANTA ISABEL,[70] - VALLE DE ZONGO - SANTA ROSA,[67] - VALLE DE ZONGO - TIQUIMANI,[74] - VALLE DE ZONGO - CAHUA,[117] - KILPANI,[69] - VALLE DE ZONGO - CUTICUCHO,[27] - SAN JOSE 1,[25] - CORANI,[78] - SISTEMA QUEHATA,[33] - CARABUCO,[72] - VALLE DE ZONGO - CHURURAQUI,[29] - MISICUNI,[75] - VALLE DE ZONGO - HUAJI,[118] - LANDARA,[28] - SAN JOSE 2,[120] - SAN JACINTO,[71] - VALLE DE ZONGO - SAINANI
2020-01-01 00:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,91.11,0.0,0.0,28.02,6.57762461946,22.97,0.0,24.038011176002428,0.6667453574,0.0,25.39,0.0,30.15,2.3491516476500003,0.0,7.6,10.5
2020-01-01 01:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,91.11,0.0,0.0,28.02,6.57762461946,22.97,0.0,0.0,0.6667453574,0.0,25.39,0.0,30.15,2.3491516476500003,0.0,7.6,10.5
2020-01-01 02:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,91.11,0.0,0.0,28.02,6.57762461946,22.97,0.0,0.0,0.6667453574,0.0,25.39,0.0,30.15,2.3491516476500003,0.0,7.6,10.5
2020-01-01 03:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,91.11,0.0,0.0,28.02,6.57762461946,22.97,0.0,0.0,0.6667453574,0.0,25.39,0.0,30.15,2.3491516476500003,0.0,7.6,10.5
2020-01-01 04:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,91.11,0.0,0.0,28.02,6.57762461946,22.97,0.0,0.0,0.6667453574,0.0,25.39,0.0,30.15,2.3491516476500003,0.0,7.6,10.5
2020-01-01 05:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,0.0,0.0,0.0,28.02,6.57762461946,22.97,0.0,0.0,0.6667453574,0.0,25.39,0.0,30.15,2.3491516476500003,0.0,7.6,10.5
2020-01-01 06:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,0.0,0.0,0.0,28.02,6.57762461946,14.244317937408258,0.0,0.0,0.6667453574,0.0,25.39,0.0,26.567641396938125,2.3491516476500003,0.0,0.0,10.5
2020-01-01 07:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,0.0,0.0,0.0,28.02,6.57762461946,18.991491545048227,0.0,0.0,0.6667453574,0.0,25.39,0.0,26.567641396938125,2.3491516476500003,0.0,0.0,10.5
2020-01-01 08:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,0.0,0.0,0.0,28.02,6.57762461946,18.991491545048227,0.0,0.0,0.6667453574,0.0,25.39,0.0,26.567641396938125,2.3491516476500003,0.0,0.0,10.5
2020-01-01 09:00:00,0.0,0.0,25.85,4.23347116296,38.4,50.79,0.0,2.4196261991999997,0.0,0.0,0.8354845683527401,0.0,0.0,28.02,6.57762461946,22.970000000000002,0.0,0.0,0.6667453574,0.0,25.39,0.0,30.150000000000002,2.3491516476500003,0.0,0.0,10.5
