,[68] - VALLE DE ZONGO - BOTIJILACA,[31] - ANGOSTURA,[73] - VALLE DE ZONGO - HARCA,[34] - KANATA,[76] - CHOJLLA,[77] - YANACACHI,[30] - MIGUILLA,[119] - PUNUTUMA,[32] - CHOQUETANGA,[66] - SISTEMA ZONGO,[26] - SANTA ISABEL,[70] - VALLE DE ZONGO - SANTA ROSA,[67] - VALLE DE ZONGO - TIQUIMANI,[74] - VALLE DE ZONGO - CAHUA,[117] - KILPANI,[69] - VALLE DE ZONGO - CUTICUCHO,[27] - SAN JOSE 1,[25] - CORANI,[78] - SISTEMA QUEHATA,[33] - CARABUCO,[72] - VALLE DE ZONGO - CHURURAQUI,[29] - MISICUNI,[75] - VALLE DE ZONGO - HUAJI,[118] - LANDARA,[28] - SAN JOSE 2,[120] - SAN JACINTO,[71] - VALLE DE ZONGO - SAINANI
2020-01-01 00:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,2.55,0.5354066496,6.2,0.0,91.11,17.59,9.72,28.02,1.4554743786,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 01:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,2.5130017780895306,0.5354066496,6.2,0.0,91.11,17.59,0.0,28.02,1.4554743786,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 02:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,0.0,0.5354066496,6.2,0.0,91.11,17.59,0.0,28.02,1.4554743786,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 03:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,0.0,0.5354066496,6.2,0.0,91.11,17.59,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 04:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 05:00:00,6.81,0.0,25.85,4.24556679326,0.0,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 06:00:00,6.81,0.0,25.85,4.24556679326,0.0,50.79,0.0,0.5354066496,6.200000000000001,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,0.0,10.5
2020-01-01 07:00:00,6.81,0.0,25.85,4.24556679326,0.0,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 08:00:00,6.81,0.0,25.85,4.24556679326,0.0,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 09:00:00,6.81,0.0,25.85,4.24556679326,0.0,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 10:00:00,6.81,0.0,25.85,4.24556679326,0.0,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 11:00:00,6.81,0.0,25.85,4.24556679326,19.040089485334015,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 12:00:00,6.81,0.0,25.85,4.24556679326,27.758887494914024,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 13:00:00,6.81,0.0,25.85,4.24556679326,32.27293916330999,50.79,0.0,0.5354066496,3.394522302524706,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 14:00:00,6.81,0.0,25.85,4.24556679326,32.27293916330999,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 15:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,18.495635402594505,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,3.235965324335984,10.5
2020-01-01 16:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,0.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,7.6,10.5
2020-01-01 17:00:00,6.81,0.0,25.85,4.24556679326,38.4,50.79,0.0,0.5354066496,6.2,0.0,91.11,0.0,0.0,28.02,1.4554743786,22.97,34.65540807166198,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.5198122784500001,0.0,7.6,10.5
