,[67] - VALLE DE ZONGO - TIQUIMANI,[32] - CHOQUETANGA,[33] - CARABUCO,[28] - SAN JOSE 2,[29] - MISICUNI,[31] - ANGOSTURA,[76] - CHOJLLA,[71] - VALLE DE ZONGO - SAINANI,[25] - CORANI,[26] - SANTA ISABEL,[66] - SISTEMA ZONGO,[70] - VALLE DE ZONGO - SANTA ROSA,[30] - MIGUILLA,[69] - VALLE DE ZONGO - CUTICUCHO,[68] - VALLE DE ZONGO - BOTIJILACA,[77] - YANACACHI,[72] - VALLE DE ZONGO - CHURURAQUI,[27] - SAN JOSE 1,[75] - VALLE DE ZONGO - HUAJI,[120] - SAN JACINTO,[74] - VALLE DE ZONGO - CAHUA,[73] - VALLE DE ZONGO - HARCA
2020-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999998863,0.0,-0.9999999999417923,0.0,-0.9999999999999432,-0.9999999999999432
2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999999,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999998863,0.0,-0.9999999998835847,0.0,-0.9999999999998863,-0.9999999999998863
2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999997726,0.0,-0.9999999997671694,0.0,-0.9999999999997726,-0.9999999999997726
2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999996,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999995453,0.0,-0.9999999995343387,0.0,-0.9999999999995453,-0.9999999999997726
2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999991,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999990905,0.0,-0.9999999990686774,0.0,-0.9999999999995453,-0.9999999999995453
2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999982,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.999999999998181,0.0,-0.9999999981373549,0.0,-0.9999999999990905,-0.9999999999995453
2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999982,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.999999999996362,0.0,-0.9999999981373549,0.0,-0.999999999998181,-0.9999999999990905
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999982,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.999999999992724,0.0,-0.9999999981373549,0.0,-0.999999999996362,-0.999999999998181
2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999964,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.999999999992724,0.0,-0.9999999962747097,0.0,-0.999999999992724,-0.999999999996362
2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999929,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999854481,0.0,-0.9999999962747097,0.0,-0.9999999999854481,-0.999999999992724
2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999858,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999854481,0.0,-0.9999999962747097,0.0,-0.9999999999708962,-0.9999999999854481
2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999716,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999854481,0.0,-0.9999999962747097,0.0,-0.9999999999417923,-0.9999999999708962
2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999432,-0.9999999962747097,0.0,0.0,8.139056532481408,0.0,0.0,-0.9999999990686774,0.0,-1.0,-0.9999999999708962,0.0,-0.9999999962747097,0.0,-0.9999999998835847,-0.9999999999417923
