,ANGOSTURA,CARABUCO,CHOQUETANGA,KANATA,SAN JOSE 1,SANTA ISABEL
2015-01-01 00:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 01:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 02:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 03:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 04:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 05:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 06:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 07:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 08:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 09:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 10:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 11:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 12:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 13:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 14:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 15:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 16:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 17:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 18:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 19:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 20:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 21:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 22:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-01 23:00:00,1.0690360894863562,4.473392678662317,1.6050977698064515,0.4010488030503979,0.7433589698564516,0.7153038596414226
2015-01-02 00:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 01:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 02:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 03:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 04:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 05:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 06:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 07:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 08:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 09:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 10:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 11:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 12:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 13:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 14:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 15:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 16:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
2015-01-02 17:00:00,0.9749609136115569,4.066720616965743,1.4634714960000001,0.4010488030503979,0.6787629426048387,0.6523270415126772
